Hashtag,id,screen_name,Tweet Text,URL
#InfiniteKusama,8.56893E+17,hirshhorn,"#InfiniteKusama same-day walk-up passes have all been claimed for today, April 25. https://t.co/QVQ1ebgv1n",https://hirshhorn.si.edu/kusama/visitor-info/
#InfiniteKusama,8.56889E+17,hirshhorn,"Thank you for visiting #InfiniteKusama, @NatGeoTravel! _ŸŒ__Ÿ_¨ Explore the exhibition via Facebook Live:â€_ https://t.co/21wK75a1fp",https://twitter.com/i/web/status/856889173126643713
#InfiniteKusama,8.56888E+17,corinne_fal,#InfiniteKusama #InfiniteCorinne https://t.co/HDIzJsTlJM https://t.co/tNKWFbxJar,http://ift.tt/2oIA79h
#InfiniteKusama,8.56876E+17,JaviMFernandez,Super exited I finally get to see #infinitekusama #washingtondc #hirshhornmuseum @ Hirshhornâ€_ https://t.co/dwWfE605kv,https://www.instagram.com/p/BTT8AEfBceL/
#InfiniteKusama,8.56868E+17,abuyusup7f1tsop,RT @NAMICommunicate: The conversation around Yayoi Kusamaâ€™s artwork promotes a special kind of #mentalillness awareness #InfiniteKusama httâ€_,
#InfiniteKusama,8.56866E+17,Laurenxomarie91,"RT @artsy: Immerse yourself in one of Yayoi Kusamaâ€™s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama httpâ€_",
#InfiniteKusama,8.56864E+17,kellyskeen,Aftermath of Obliteration of Eternity #infinitekusama @hirshhorn https://t.co/AOPORjdMIT,
#InfiniteKusama,8.5686E+17,reinaventurini,"RT @artsy: Immerse yourself in one of Yayoi Kusamaâ€™s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama httpâ€_",
#InfiniteKusama,8.56848E+17,jeffers_robbie,"RT @hirshhorn: Experience Yayoi Kusama's limitless ""Infinity Mirrors"" exhibit via @CBSThisMorning https://t.co/PKvqmfQ1sG #InfiniteKusama",http://www.cbsnews.com/videos/experience-yayoi-kusamas-limitless-infinity-mirrors-exhibit
#InfiniteKusama,8.56847E+17,kosmo_uk,"RT @artsy: Immerse yourself in one of Yayoi Kusamaâ€™s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama httpâ€_",
#InfiniteKusama,8.5684E+17,ryanandsarahrtw,One last DC #tourist outing... Infinity Mirrors! 30th in line :) @hirshhorn #InfiniteKusama #Museums #Travel https://t.co/eWYP52hd3E,
#InfiniteKusama,8.56833E+17,BluSachiko,RT @tkradio: #infinitekusama @smithsonian @hirshhorn another view... #majestic https://t.co/BbfyWyMfwI,
#InfiniteKusama,8.56827E+17,KayzMarco,RT @rosaliemo: Planning a trip to see #infinitekusama #infinitymirrors? @meganmarconyak shares how to get in w/o advance tix! https://t.co/â€_,
