Hashtag,id,screen_name,Tweet Text,URL,date
#InfiniteKusama,8.57236E+17,SabrinaMcNeal,"Last night in the ""Aftermath of Obliteration of Eternity"" #infinitekusama #infinitymirrors #kusamaexhibit @hirshhorn https://t.co/NN3dTl4aYm",,
#InfiniteKusama,8.57222E+17,awmccall,"Serious thanks to @hirshhorn for bringing #InfiniteKusama to DC. It's been a few days since my visit, and I'm still processing the works.",,
#InfiniteKusama,8.57218E+17,hirshhorn,RT @LacyMB: .@hirshhorn The entire exhibit is a breathtaking experience. @hirshhorn #InfiniteKusama https://t.co/K2Px9Cr1O8,,
#InfiniteKusama,8.57211E+17,mccrackenmolly,Only 19 more days of #infinitekusama @hirshhorn - it has been such an inspiring thing to be a (very small) part of.â€_ https://t.co/mNjwgnptgK,https://twitter.com/i/web/status/857210839312609280,
#InfiniteKusama,8.57203E+17,FcdwbgHPnvPMOPz,RT @Gothama1: Trippy times at the Infinity Mirrors exhibit at the @hirshhorn   #infinitekusama https://t.co/0XqA4z0Oo9,,
#InfiniteKusama,8.57171E+17,travelwhisperau,"RT @hirshhorn: Thank you for visiting #InfiniteKusama, @NatGeoTravel! _ŸŒ__Ÿ_¨ Explore the exhibition via Facebook Live: https://t.co/4gZ0KQ1iZwâ€_",http://bit.ly/NGTKusama,
#InfiniteKusama,8.57148E+17,s_chew,"RT @hirshhorn: Thank you for visiting #InfiniteKusama, @NatGeoTravel! _ŸŒ__Ÿ_¨ Explore the exhibition via Facebook Live: https://t.co/4gZ0KQ1iZwâ€_",http://bit.ly/NGTKusama,
#InfiniteKusama,8.57076E+17,FosseVictoria,"RT @artsy: Immerse yourself in one of Yayoi Kusamaâ€™s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama httpâ€_",,
#InfiniteKusama,8.57048E+17,LacyMB,.@hirshhorn âù__Ÿ’›_Ÿ’__Ÿ’™_Ÿ’œ #InfiniteKusama https://t.co/Z6e2RKGGq1,,
#InfiniteKusama,8.57047E+17,LacyMB,.@hirshhorn The entire exhibit is a breathtaking experience. @hirshhorn #InfiniteKusama https://t.co/K2Px9Cr1O8,,
#InfiniteKusama,8.57042E+17,LacyMB,The @hirshhorn's #InfiniteKusama exhibit is very magical. âœ¨âœ¨ https://t.co/u4xR7SmPbH,,
#InfiniteKusama,8.57039E+17,DCCelebrity,UMMM @hirshhorn can you hook me up with TWO TIX to #infinitekusama #PLEASE,,
#InfiniteKusama,8.57032E+17,BrHague,I think someone brought their own sticker.  #infinitekusama @ Hirshhorn Museum and Sculpture Garden https://t.co/sId8TFXZA0,https://www.instagram.com/p/BTVDFZHBQ5j/,
#InfiniteKusama,8.57016E+17,x35215,"Blue + Yellow = Green JME#infinitekusama @ Hirshhorn Museum and Sculpture Garden https://t.co/85FChyC345",https://www.instagram.com/p/BTU7ZEYDjXA/,
#InfiniteKusama,8.57014E+17,x35215,"Be vewy, vewy, quiet. We're hunting phallis!#infinitekusama @ Hirshhorn Museum and Sculptureâ€_ https://t.co/VDoQOXoWXh",https://www.instagram.com/p/BTU6oNkD7B2/,
#InfiniteKusama,8.57003E+17,schizoalias,No one better ask me to take their picture in one of Kusama's Infinity rooms. #infinitekusama,,
