Hashtag,id,screen_name,Tweet Text,URL
#YayoiKusama,857018540905213952,bunny_tokyo,RT @amiehowarth: Wearing polka dot for the polka dot queen #fangirl #loser #polkadot #yayoikusama #ilovetokyo… https://t.co/fYwgh6UGJl,https://www.instagram.com/p/BTN1zsEDt4S/
#YayoiKusama,857009627506106369,NewToYouInc,Blending in @hirshhorn #YayoiKusama https://t.co/V3ActCztQC,
#YayoiKusama,857008402731483136,maricola7,"Loveforeverだそうです。

#yayoikusama #ginzasix #ginza https://t.co/Arct5Maqc6",
#YayoiKusama,856990177314697221,charisma2010607,20170425#🎃 #カボチャ #ドット #バルーン #pumpkin #dot #balloon #インスタレーション #installation #草間彌生 #YayoiKusama… https://t.co/8dlB1Qlcvm,https://www.instagram.com/p/BTUv33ODm0z/
#YayoiKusama,856973597000310785,v_hsux,#AftermathOfObliterationOfEternity ✨💫🕯 #YayoiKusama #草間彌生 #InfinityMirrors #InfiniteKusama… https://t.co/Uw1drC7Xro,https://www.instagram.com/p/BTUoVYQgOZ8/
#YayoiKusama,856968483816570880,MiihHoran91,RT @LaurenJauregui: #YayoiKusama https://t.co/2BEL67UUuB,
#YayoiKusama,856959866149236737,nontapila,"#くまバカtokyo #くまバカart #art 
#くまバカmuseo #musee #museo #国立新美術館草間彌生展 #国立新美術館 #水玉 #dots #yayoikusama… https://t.co/iSnMRxJZOR",https://www.instagram.com/p/BTUiFuqAMiC/
#YayoiKusama,856955683387953152,museologue_yv,Yayoi Kusama in Tate Modern #YayoiKusama #tatemodern #infinitymirrors #visitlondon https://t.co/l3O7luO1sY,
#YayoiKusama,856949597712920578,lDESPThHIwmWFcd,"RT @Guggenheim: “Forget yourself. Become one with eternity. Become part of your environment.”—#YayoiKusama, happy birthday! https://t.co/gn…",
#YayoiKusama,856936953224343552,GalleryGurl1,RT @StylishFlaneuse: #YayoiKusama at the Hirshhorn Museum https://t.co/TmWrszm2Qy @GalleryGurl1,http://gallerygurls.net/reviews/2017/3/26/put-your-phone-downor-not-yayoi-kusama-infinity-mirrors
#YayoiKusama,856930347212312577,AccioDDLovato,RT @LaurenJauregui: #YayoiKusama https://t.co/2BEL67UUuB,
#YayoiKusama,856924319548624897,StylishFlaneuse,#YayoiKusama at the Hirshhorn Museum https://t.co/TmWrszm2Qy @GalleryGurl1,http://gallerygurls.net/reviews/2017/3/26/put-your-phone-downor-not-yayoi-kusama-infinity-mirrors
#YayoiKusama,856913698983694337,AlanaHackes,"Just some of my #Hirshhorn vibes from yesterday #YayoiKusama #infinitymirrors 😍 Thanks for coming with me,… https://t.co/uOgctmXBCk",https://twitter.com/i/web/status/856913698983694337
