Hashtag,id,screen_name,Tweet Text,URL
#InfiniteKusama,857276213953429504,KirstyHickey,RT @LacyMB: .@hirshhorn The entire exhibit is a breathtaking experience. @hirshhorn #InfiniteKusama https://t.co/K2Px9Cr1O8,
#InfiniteKusama,857268415106625536,IamKeonte,I took my little guy to .@hirshhorn today to see #InfiniteKusama #InfinityMirrors. Before entering each room he sai… https://t.co/lSxS184lBQ,https://twitter.com/i/web/status/857268415106625536
#InfiniteKusama,857244156539936769,katlynletrieze,Been waiting in line for an hour and a half just so I can get the same Facebook profile pic as everyone else #infinitekusama,
#InfiniteKusama,857242266662047744,artversed,"RT @artsy: Immerse yourself in one of Yayoi Kusama’s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama http…",
#InfiniteKusama,857241890839826434,Stella_and_mom,#infinitekusama https://t.co/gfmMDcG7ym,
#InfiniteKusama,857236091245654016,SabrinaMcNeal,"Last night in the ""Aftermath of Obliteration of Eternity"" #infinitekusama #infinitymirrors #kusamaexhibit @hirshhorn https://t.co/NN3dTl4aYm",
#InfiniteKusama,857221648889503745,awmccall,"Serious thanks to @hirshhorn for bringing #InfiniteKusama to DC. It's been a few days since my visit, and I'm still processing the works.",
#InfiniteKusama,857218245627187202,hirshhorn,RT @LacyMB: .@hirshhorn The entire exhibit is a breathtaking experience. @hirshhorn #InfiniteKusama https://t.co/K2Px9Cr1O8,
#InfiniteKusama,857210839312609280,mccrackenmolly,Only 19 more days of #infinitekusama @hirshhorn - it has been such an inspiring thing to be a (very small) part of.… https://t.co/mNjwgnptgK,https://twitter.com/i/web/status/857210839312609280
#InfiniteKusama,857202537971290112,FcdwbgHPnvPMOPz,RT @Gothama1: Trippy times at the Infinity Mirrors exhibit at the @hirshhorn   #infinitekusama https://t.co/0XqA4z0Oo9,
#InfiniteKusama,857170899740577795,travelwhisperau,"RT @hirshhorn: Thank you for visiting #InfiniteKusama, @NatGeoTravel! 🌎🎨 Explore the exhibition via Facebook Live: https://t.co/4gZ0KQ1iZw…",http://bit.ly/NGTKusama
#InfiniteKusama,857148307524726784,s_chew,"RT @hirshhorn: Thank you for visiting #InfiniteKusama, @NatGeoTravel! 🌎🎨 Explore the exhibition via Facebook Live: https://t.co/4gZ0KQ1iZw…",http://bit.ly/NGTKusama
#InfiniteKusama,857076079584038913,FosseVictoria,"RT @artsy: Immerse yourself in one of Yayoi Kusama’s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama http…",
#InfiniteKusama,857048116582895616,LacyMB,.@hirshhorn ❤💛💚💙💜 #InfiniteKusama https://t.co/Z6e2RKGGq1,
#InfiniteKusama,857047018711199744,LacyMB,.@hirshhorn The entire exhibit is a breathtaking experience. @hirshhorn #InfiniteKusama https://t.co/K2Px9Cr1O8,
#InfiniteKusama,857041866612768768,LacyMB,The @hirshhorn's #InfiniteKusama exhibit is very magical. ✨✨ https://t.co/u4xR7SmPbH,
#InfiniteKusama,857038934861336577,DCCelebrity,UMMM @hirshhorn can you hook me up with TWO TIX to #infinitekusama #PLEASE,
#InfiniteKusama,857032419110551552,BrHague,I think someone brought their own sticker.  #infinitekusama @ Hirshhorn Museum and Sculpture Garden https://t.co/sId8TFXZA0,https://www.instagram.com/p/BTVDFZHBQ5j/
#InfiniteKusama,857015502463541249,x35215,"Blue + Yellow = Green JME

#infinitekusama @ Hirshhorn Museum and Sculpture Garden https://t.co/85FChyC345",https://www.instagram.com/p/BTU7ZEYDjXA/
#InfiniteKusama,857013832245555203,x35215,"Be vewy, vewy, quiet. We're hunting phallis!

#infinitekusama @ Hirshhorn Museum and Sculpture… https://t.co/VDoQOXoWXh",https://www.instagram.com/p/BTU6oNkD7B2/
#InfiniteKusama,857002975771975680,schizoalias,No one better ask me to take their picture in one of Kusama's Infinity rooms. #infinitekusama,
#InfiniteKusama,857000613636435970,mosaicdistrict,RT @dolcezzagelato: To brighten a gloomy day: Our @mosaicdistrict manager Lauren at #infinitekusama. Photos from staff day @hirshhorn: http…,
#InfiniteKusama,856997338988072960,MarieMcG23,Today I had the opp to explore #infinitekusama with curator Mika Yoshitake @hirshhorn . It was a true pleasure! https://t.co/PpzYaavPkn,https://www.facebook.com/natgeotravel/videos/10154776394633992/
#InfiniteKusama,856996985995264001,ArtTalkHawaii,RT @hirshhorn: Advance Timed Passes for May 2-8 have been claimed. #InfiniteKusama https://t.co/laAyepU6zH,https://twitter.com/hirshhorn/status/856533448235900939
#InfiniteKusama,856996095976759296,LacyMB,At the @hirshhorn to finally see #InfiniteKusama and I'm so excited! 😱 https://t.co/9AXqf2Y5HA,
